;number_people;date;day_of_week;is_weekend;is_holiday;temperature;is_start_of_semester;is_during_semester;month;hour;period
0;37;2015-08-14 17:00:11-07:00;4;0;0;71,76;0;0;8;17;evening
1;45;2015-08-14 17:20:14-07:00;4;0;0;71,76;0;0;8;17;evening
2;40;2015-08-14 17:30:15-07:00;4;0;0;71,76;0;0;8;17;evening
3;44;2015-08-14 17:40:16-07:00;4;0;0;71,76;0;0;8;17;evening
4;45;2015-08-14 17:50:17-07:00;4;0;0;71,76;0;0;8;17;evening
5;46;2015-08-14 18:00:18-07:00;4;0;0;72,15;0;0;8;18;evening
6;43;2015-08-14 18:20:08-07:00;4;0;0;72,15;0;0;8;18;evening
7;53;2015-08-14 18:30:09-07:00;4;0;0;72,15;0;0;8;18;evening
8;54;2015-08-14 18:40:14-07:00;4;0;0;72,15;0;0;8;18;evening
9;43;2015-08-14 18:50:15-07:00;4;0;0;72,15;0;0;8;18;evening
10;39;2015-08-14 19:00:16-07:00;4;0;0;69,97;0;0;8;19;evening
11;38;2015-08-14 19:20:07-07:00;4;0;0;69,97;0;0;8;19;evening
12;45;2015-08-14 19:30:08-07:00;4;0;0;69,97;0;0;8;19;evening
13;41;2015-08-14 19:40:14-07:00;4;0;0;69,97;0;0;8;19;evening
14;36;2015-08-14 19:50:16-07:00;4;0;0;69,97;0;0;8;19;evening
15;42;2015-08-14 20:00:17-07:00;4;0;0;68,8;0;0;8;20;night
16;35;2015-08-14 20:21:14-07:00;4;0;0;68,8;0;0;8;20;night
17;36;2015-08-14 20:31:14-07:00;4;0;0;68,8;0;0;8;20;night
18;48;2015-08-14 20:41:15-07:00;4;0;0;68,8;0;0;8;20;night
19;40;2015-08-14 20:51:17-07:00;4;0;0;68,8;0;0;8;20;night
20;49;2015-08-14 21:01:18-07:00;4;0;0;68,04;0;0;8;21;night
21;37;2015-08-14 21:20:06-07:00;4;0;0;68,04;0;0;8;21;night
22;48;2015-08-14 21:30:07-07:00;4;0;0;68,04;0;0;8;21;night
23;45;2015-08-14 21:40:08-07:00;4;0;0;68,04;0;0;8;21;night
24;45;2015-08-14 21:50:09-07:00;4;0;0;68,04;0;0;8;21;night
